time,sine,square,triangle,target
0.0,3.023765226033985,4.451687012123534,1.375316676547494,2.9354984392286383
0.01,2.907587554724384,4.418556091275276,1.5427730133853312,2.8760709128226662
0.02,3.2991484401127056,4.588896126080808,1.5071131402688127,3.056470358825787
0.03,3.430528864878734,4.560685643108773,1.8872613427614526,3.1254996350322504
0.04,3.06122926663121,4.3041202015412185,1.8215260908591464,2.7157451373397854
0.05,3.264172882860495,4.695550489220919,1.606613497848755,2.9869746855565915
0.06,3.591750284145794,4.507092893615483,1.6692079595122613,3.0574096829386725
0.07,3.6132199979051602,4.349630490653107,1.86008059319244,3.080158867427495
0.08,3.7524759982861133,4.705788330912522,1.714206549990477,3.195861570745861
0.09,3.7045797412173815,4.618579479318349,2.1005896179280468,3.296618788142374
0.1,4.069586235468652,4.325840707904012,2.035554463875109,3.2995653359558634
0.11,4.133572051219092,4.796913883571074,2.0829395381938944,3.4646922386977197
0.12,4.094587145499807,4.6237090656054,2.2164037950838518,3.551870157697528
0.13,4.338585238752899,4.520101769617417,2.447155585514511,3.643928362511362
0.14,4.298991622959359,4.767958686638414,2.2620441479586786,3.5595649173913917
0.15,4.146351285325585,4.546351359529999,2.280686558990344,3.49254542465773
0.16,4.4026231180143744,4.517331608846931,2.605592517744569,3.906959019668298
0.17,4.239272340121867,4.419419895721947,2.582905988786476,3.628339131875812
0.18,4.583291232133471,4.611792263057741,2.4401151651186517,4.070287934325641
0.19,4.473258647253383,4.595492543788902,2.556813366207794,3.8794523718891947
0.2,4.485878752645955,4.523954365539299,2.651660281664456,3.9354056294839648
0.21,4.43388364867983,4.3993353347335855,2.742688465955074,3.8881622739029176
0.22,4.764608024720294,4.541803136185498,2.530813577441973,4.171230422242743
0.23,4.5573418292199905,4.510871079581805,2.565222863685287,4.075638562594954
0.24,4.522546994349089,4.315165130106335,2.7347813270834713,3.9796289842018
0.25,4.538094757109391,1.1963324371470774,2.786632892509993,4.314954635185151
0.26,4.678246205809595,1.5117981574710875,2.9024870959858124,4.353911791954786
0.27,4.641618689792301,1.0213171079030736,3.17223519333483,4.083932676024562
0.28,4.633354929922698,1.456084634061766,3.107368455407518,4.271345947408088
0.29,4.614075211343319,1.3502317015115437,3.230359439079172,3.9999537863081738
0.3,4.862957466046362,1.6268813112979437,3.06632865989098,4.491263659721886
0.31,4.415479202823349,1.3478489967871043,3.2531735649691913,4.2444336762942925
0.32,4.357888914219112,1.5264072127493806,3.4860183146031782,4.216881626425442
0.33,4.2627916221758895,1.362802411454063,3.5515367090190524,3.995560498045305
0.34,4.442693720910798,1.4418888445857032,3.403764683393356,4.165868146794195
0.35000000000000003,4.468607509201619,1.5383867978427666,3.610468650075146,4.078332779403912
0.36,4.204749610090145,1.3526364272642795,4.002135357856941,3.839611932879997
0.37,4.019711131721174,1.5786094860701099,3.7102243198205804,3.909504615716556
0.38,3.950253748414486,1.2703782223928135,3.665935920598673,3.6953788423748977
0.39,4.112955723905712,1.4698963359543442,3.813691597820872,3.9579223893384388
0.4,4.0475201660743565,1.5671622145785313,3.9207110815035957,4.077663967747104
0.41000000000000003,3.9308743315722334,1.526492899069293,3.9458861687988604,3.841835566520365
0.42,3.6473338802354913,1.7210732274708116,4.029422573992128,3.451374080779223
0.43,3.7021048279766258,1.3060384602417738,3.8667748048071715,3.4112483970228347
0.44,3.589942357238808,1.2106832095478164,4.008325964370712,3.4613090586419153
0.45,3.5106738635248784,1.2702795341055952,4.2033079868120975,3.3099354410121
0.46,3.518691773744343,1.5265556331636665,4.265029330584378,3.485017201840782
0.47000000000000003,3.314323125205275,1.5013861508767286,4.264881272737545,3.1521980946888037
0.48,3.28755368276206,1.4401091522090452,4.391705368835051,3.207147458419183
0.49,3.0871004318242212,1.2503598012674924,4.494239419904565,2.843041685624593
0.5,3.02123716744074,4.640445899327943,4.6916486209829635,4.280651574011225
0.51,2.974925265183867,4.332010313665222,4.468490283409929,3.948252046777696
0.52,2.535063381581338,4.701167844675856,4.484289938216952,3.5625228626293004
0.53,2.6188589071438866,4.964213509945024,4.26883283177953,3.8429741184388946
0.54,2.4950649473436,4.578433286009252,4.383527005142419,3.463577735608652
0.55,2.3699761207806986,4.611987043008794,4.287688388761475,3.297023068191898
0.56,2.333129053384929,4.445351451140931,4.302165729062727,3.129877316052562
0.5700000000000001,2.5265763592822426,4.241332364754005,4.213399539229533,3.1708352257583066
0.58,2.053221622907153,4.428337450617754,4.129073888524166,2.740822057653639
0.59,2.2628512476457034,4.352423710797412,3.9543634881605763,2.9346896647979315
0.6,1.7489416469598686,4.297582652410211,3.945260643788803,2.2061391118927176
0.61,1.8869678082145742,4.788423438771418,4.0125266845313625,2.5107374639037334
0.62,1.891247821015913,4.563939176618228,3.672542865151746,2.3316828418594078
0.63,1.8878853356822933,4.580483217992862,3.6120644193778246,2.3415115236268793
0.64,1.8408107640829305,4.473822425454616,3.6779274253755747,2.45152357923664
0.65,1.7917142625404652,4.494908230606493,3.6512260958216,2.273180748656065
0.66,1.549376525023787,4.671061207065383,3.3877693337889427,1.8869319181644304
0.67,1.479129117434737,4.516672783366496,3.4439104814714088,1.9379629418425817
0.68,1.6469011077261728,4.6038696346661325,3.3765373296578094,1.9301973312212923
0.6900000000000001,1.4363968588008709,4.49132558002376,2.9713560352109027,1.5005960769983346
0.7000000000000001,1.2261506784004055,4.468691487340022,3.227789999796071,1.3996627798608343
0.71,1.2208235686554647,4.303791470819947,3.1735162534014494,1.433978798702681
0.72,1.2332702786316885,4.215386035603178,3.1087563339073596,1.576709795440388
0.73,1.4469454410569758,4.4811726470524285,3.297778143993892,1.8655021117832467
0.74,1.3798681370385695,4.530430512160547,2.8105682461551016,1.7006142542895004
